"TOA5","Cal_Pluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","59817","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-14 10:17:03.8",86,86,1.199707,4.639997,6770.3,318.1037,270.0467,275.3644
"2023-06-14 10:17:08.44",87,87,1.299805,4.639997,6775.4,318.1037,292.5781,271.2374
"2023-06-14 10:17:14.34",88,88,0.9003906,5.899995,6783.7,250.1697,202.6724,272.7395
"2023-06-14 10:17:19.2",89,89,1.600098,4.859996,6789.4,303.7039,360.1722,274.2397
"2023-06-14 10:17:23.8",90,90,1.5,4.599997,6795.1,320.8698,337.6408,276.491
"2023-06-14 10:17:28.78",91,91,1.099609,4.979996,6800.3,296.3858,247.5153,271.2374
"2023-06-14 10:17:33.5",92,92,0.8999023,4.719996,6806.4,312.7121,202.5625,276.8647
"2023-06-14 10:17:38.42",93,93,1.099609,4.919996,6810.8,300.0002,247.5153,269.3616
"2023-06-14 10:17:43.62",94,94,1.399902,5.199996,6818,283.8464,315.1095,268.9879
"2023-06-14 10:17:48.38",95,95,0.8999023,4.759996,6823.4,310.0843,202.5625,266.7366
"2023-06-14 10:17:53.06",96,96,1.399902,4.659997,6830.5,316.7384,315.1095,270.8637
"2023-06-14 10:17:57.7",97,97,1.5,4.639997,6834.5,318.1037,337.6408,268.6124
"2023-06-14 10:18:01.94",98,98,2.700195,4.239997,6840.7,348.1135,607.7974,275.74
"2023-06-14 10:18:07.68",99,99,2.299805,5.739995,6847.4,257.1431,517.6719,274.9889
"2023-06-14 10:18:12.4",100,100,0.4003906,4.719996,6852.7,312.7121,90.12548,267.4876
"2023-06-14 10:18:17.16",101,101,1.700195,4.759996,6858.7,310.0843,382.7035,269.3634
"2023-06-14 10:18:22.16",102,102,0.2998047,4.999996,6864.8,295.2002,67.4842,267.1103
"2023-06-14 10:18:28",103,103,2,5.839995,6871.4,252.7399,450.1877,270.8618
"2023-06-14 10:18:32.64",104,104,0.6000977,4.619997,6877.2,319.4807,135.0783,268.9879
"2023-06-14 10:18:39.1",105,105,1.199707,6.459995,6884.4,228.4832,270.0467,268.9861
"2023-06-14 10:18:46.7",106,106,0.8999023,7.579994,6892.9,194.7231,202.5625,267.8614
"2023-06-14 10:18:49.58",107,107,1.5,2.879998,6896.7,512.5004,337.6408,267.8632
"2023-06-14 10:18:57.12",108,108,1.299805,7.539994,6906.3,195.7561,292.5781,269.3616
"2023-06-14 10:18:59.94",109,109,1.700195,2.819998,6909.1,523.4046,382.7035,271.2392
"2023-06-14 10:19:08.02",110,110,1.699707,8.079995,6919.4,182.6734,382.5936,268.2369
"2023-06-14 10:19:11.26",111,111,0.199707,3.239998,6922.4,455.5559,44.95283,262.985
