"TOA5","CalibraPluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","64429","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-02-10 16:03:59.54",115,115,0.3999023,10.70006,4053,137.9432,90.01556,112.1714
"2022-02-10 16:04:13.5",116,116,0.5,13.96013,4059.8,105.7297,112.5469,111.4213
"2022-02-10 16:04:24.16",117,117,0.6999512,10.66005,4065.5,138.4608,157.5547,111.7968
"2022-02-10 16:04:37.84",118,118,0.8999023,13.68012,4071.9,107.8938,202.5625,111.4213
"2022-02-10 16:04:48.42",119,119,0.3000488,10.58005,4077,139.5078,67.53915,111.0467
"2022-02-10 16:05:01.82",120,120,0.6999512,13.40012,4083.8,110.1483,157.5547,112.5469
"2022-02-10 16:05:12.48",121,121,0.3000488,10.66005,4089.3,138.4608,67.53915,112.5469
"2022-02-10 16:05:29.74",122,122,0.7998047,17.2602,4097.8,85.51463,180.0311,111.4204
"2022-02-10 16:05:40.64",123,123,0.7998047,10.90006,4103.3,135.4121,180.0311,112.9215
"2022-02-10 16:05:57.04",124,124,0.199707,16.40018,4111.3,89.99899,44.95283,111.0458
"2022-02-10 16:06:07.78",125,125,0.2001953,10.74006,4116.2,137.4294,45.06274,109.5464
"2022-02-10 16:06:23.32",126,126,0.5,15.54017,4124.4,94.97968,112.5469,110.6712
"2022-02-10 16:06:34.2",127,127,0.300293,10.86006,4129.6,135.9109,67.59411,110.6712
"2022-02-10 16:06:47.58",128,128,0.699707,13.38012,4136.4,110.3129,157.4998,112.5469
"2022-02-10 16:06:58.44",129,129,0.2001953,10.86006,4141.5,135.9109,45.06274,109.9201
"2022-02-10 16:07:15.4",130,130,0.6000977,16.9602,4150.1,87.02729,135.0783,111.4222
"2022-02-10 16:07:26.18",131,131,0.6000977,10.78006,4155.5,136.9195,135.0783,111.4222
"2022-02-10 16:07:39.92",132,132,0.2001953,13.74012,4162.1,107.4226,45.06274,111.4222
"2022-02-10 16:07:50.42",133,133,0.300293,10.50005,4167.6,140.5708,67.59411,112.5469
"2022-02-10 16:08:03.98",134,134,0.7001953,13.56012,4174.1,108.8486,157.6097,112.1714
"2022-02-10 16:08:14.76",135,135,0.3999023,10.78006,4179.4,136.9195,90.01556,112.1714
"2022-02-10 16:08:31.22",136,136,0.2998047,16.46019,4188,89.67092,67.4842,112.1714
"2022-02-10 16:08:41.84",137,137,0.2998047,10.62005,4192.8,138.9824,67.4842,112.9206
"2022-02-10 16:08:58.48",138,138,0.2998047,16.64019,4201.4,88.70091,67.4842,112.9225
"2022-02-10 16:09:09.14",139,139,0.5,10.66005,4206.9,138.4608,112.5469,112.1714
"2022-02-10 16:09:25.06",140,140,0.699707,15.92017,4214.9,92.71255,157.4998,112.1714
